GID;NOMBRE;OBSERVACIONES;TIPO_LOCAL_SEL_DOM;THE_GEOM.SDO_POINT.X;THE_GEOM.SDO_POINT.Y
 1270;En vía pública;C11-n55, Fte. 2006;En via publica; 575711.670180272; 6136336.904333263
 1272;En vía pública;C11-n58;En via publica; 575785.025175191; 6136294.37052419
 1273;En vía pública;C11-n60;En via publica; 575640.74616121; 6136230.581531985
 1274;En vía pública;C11-n63;En via publica; 575797.58828778; 6136416.194506599
 1276;En vía pública;C11-n71;En via publica; 575861.478850709; 6136706.895905328
 1278;En vía pública;C11-n75, En 991;En via publica; 575878.934534521; 6136511.146190205
 1281;En vía pública;C11-n78;En via publica; 575887.818659184; 6136398.470071614
 1142;En vía pública;C8-n107, Fte 1447/1441;En via publica; 575230.80597791; 6137360.213101645
 1146;En vía pública;c10_n34_Entre el 973/983;En via publica; 574661.827505882; 6136395.78720355
 1184;En vía pública;c10_n 79_S/N;En via publica; 575098.037427994; 6136267.354914733
 1185;En vía pública;c10_n80_S/N;En via publica; 575098.365899321; 6136262.756316156
 1195;En vía pública;C9-n32;En via publica; 576133.346019163; 6137710.189749923
 1196;En vía pública;C9-n34;En via publica; 576131.278932857; 6137560.000718698
 1200;En vía pública;C9-n36, Fte. 1382;En via publica; 576140.391754559; 6137461.808916206
 1202;En vía pública;C9-n43, Fte. 1197;En via publica; 576170.538427208; 6137073.469036648
 1203;En vía pública;C9-n46;En via publica; 576186.758887831; 6136878.613536721
 1204;En vía pública;C9-n49;En via publica; 576132.561914743; 6136870.175320298
 1208;En vía pública;C9-n58;En via publica; 576013.159151442; 6136714.596622986
 1212;En vía pública;C9-n67;En via publica; 575945.647378947; 6137159.9929534
 1214;En vía pública;C9-n72;En via publica; 575929.59213653; 6137359.727275792
 1215;En vía pública;C9-n74, En 1372 bis;En via publica; 575924.058345745; 6137428.227701316
 1216;En vía pública;C9-n75;En via publica; 575901.307759741; 6137524.477735229
 1217;En vía pública;C9-n77;En via publica; 575896.316746966; 6137582.714159957
 1223;En vía pública;C9-n82, En 1401;En via publica; 576009.086952076; 6137510.769307931
 1225;En vía pública;C9-n86, Fte. 1306;En via publica; 576022.570237326; 6137311.508158501
 1227;En vía pública;C9-n92;En via publica; 576057.703033383; 6136821.174838543
 1233;En vía pública;C9-n100, Fte. 2288/2286;En via publica; 576166.701991254; 6136586.088154793
 1230;En vía pública;C9-n94, En 1013;En via publica; 576076.670525869; 6136601.186840176
 1232;En vía pública;C9-n97, En 963;En via publica; 576086.206768182; 6136487.763942424
 1234;En vía pública;C11-n1;En via publica; 575249.358083551; 6136953.601512024
 1238;En vía pública;C11-n3, En 1144;En via publica; 575272.448392897; 6136765.878708354
 1242;En vía pública;C11-n9, En 915;En via publica; 575292.789934518; 6136326.922534614
 1245;En vía pública;C11-n11;En via publica; 575205.823424576; 6136299.62122992
 1251;En vía pública;C11-n23, En 1221;En via publica; 575336.335948148; 6136915.681520356
 1252;En vía pública;C11-n24, Fte. 1194;En via publica; 575421.234738324; 6136882.839956298
 1253;En vía pública;C11-n25, Fte.1149;En via publica; 575444.992488473; 6136785.960396523
 1254;En vía pública;C11-n32;En via publica; 575472.666540592; 6136293.65804877
 1258;En vía pública;C11-n38, En 960;En via publica; 575581.279445022; 6136442.570862765
 1259;En vía pública;C11-n39;En via publica; 575573.089002996; 6136550.887191806
 1260;En vía pública;C11-n41;En via publica; 575559.641810496; 6136697.260687398
 1262;En vía pública;C11-n45;En via publica; 575641.719875443; 6136835.106720563
 1268;En vía pública;C11-n50, En 1012;En via publica; 575678.817846058; 6136546.216602527
 1269;En vía pública;C11-n51, Fte. 957;En via publica; 575686.850437985; 6136453.181372384
 1271;En vía pública;C11-n56, Fte. 2091;En via publica; 575844.780672387; 6136336.904333263
 1275;En vía pública;C11-n66;En via publica; 575784.239591273; 6136566.123216929
 1277;En vía pública;C11-n73;En via publica; 575868.309407179; 6136624.130310706
 1280;En vía pública;C11-n77;En via publica; 575887.818659184; 6136401.441287955
 1181;En vía pública;C3-n1, S/N;En via publica; 573971.913549047; 6136212.592249573
 1187;En vía pública;c10_n81;En via publica; 575184.425386967; 6136365.567841474
 1194;En vía pública;c10_n89_En el 1240;En via publica; 575149.935897643; 6136987.035591953
 1372;En vía pública;C12-n1, En 1055;En via publica; 576235.706678052; 6136504.752162365
 1374;En vía pública;C12-n2, En 973;En via publica; 576400.488287246; 6136422.851779223
 1388;En vía pública;C12-n28;En via publica; 576314.782936904; 6135506.009887408
 1379;En vía pública;C12-n12, Fte.2232;En via publica; 576254.673101764; 6135663.936150047
 1387;En vía pública;C12-n17, Sobre vereda;En via publica; 576214.632218628; 6136048.999392609
 1389;En vía pública;C12-n30, Fte. 595;En via publica; 576297.359773111; 6135748.346554518
 1393;En Vía Pública;C4-n13, entre el 1363/1367;En via publica; 574388.653355926; 6136389.86520645
 1394;En Vía Pública;C7-n56;En via publica; 575884.781853482; 6137694.742303871
 1395;En Vía Pública;C7, n62;En via publica; 576102.491331565; 6137852.099098356
